Account,total_pnl,avg_trade_size,avg_daily_trades,active_days,avg_win_rate,pnl_std,size_segment,freq_segment,consistency,consistency_segment,avg_long_short_ratio,cluster,archetype
0x083384f897ee0f19899168e3b1bec365f52a9012,1600229.819979,33569.102223713766,159.08333333333334,24,0.7706911497254099,150401.79734551374,High size,Frequent,0.093987623194953,Inconsistent winner,2.1641285458978468,3,large-size / high-freq / lower win-rate / volatile PnL
0x23e7a7f8d14b550961925fbfdaa92f5d195ba5bd,47885.320514,4359.8309302466505,140.0,52,0.7746694551728613,3603.042291024876,Low size,Frequent,0.0752431486800108,Consistent winner,0.9913769381364812,0,large-size / low-freq / lower win-rate / steady PnL
0x271b280974205ca63b716753467d5a371de622ab,-70436.19131799998,11057.118418553686,317.4166666666667,12,0.7291901940773508,33420.410013838264,High size,Frequent,0.474477813017378,Net loser,2.6348969842023267,0,large-size / low-freq / lower win-rate / steady PnL
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,132464.814554,484.8442941619222,82.16666666666667,162,0.8834986162967678,2993.2847018942703,Low size,Frequent,0.0225968285387516,Consistent winner,1.8340682591925168,1,small-size / low-freq / high win-rate / steady PnL
0x2c229d22b100a7beb69122eed721cee9b24011dd,168658.004994,2553.7570373757217,46.94202898550725,69,0.7615892289549481,4867.743468797183,Low size,Infrequent,0.0288616212967202,Consistent winner,0.749891106957797,0,large-size / low-freq / lower win-rate / steady PnL
0x3998f134d6aaa2b6a5f723806d00fd2bbbbce891,-31203.599986,1613.2556722621034,18.953488372093023,43,0.6742275521077364,10110.280939662283,Low size,Infrequent,0.3240100803817003,Net loser,0.1453449854742958,0,large-size / low-freq / lower win-rate / steady PnL
0x39cef799f8b69da1995852eea189df24eb5cae3c,14456.919336,28188.549085190585,78.02173913043478,46,0.8311065086645512,14586.482779999604,High size,Frequent,1.0089620368619592,Inconsistent winner,0.7249324170913318,3,large-size / high-freq / lower win-rate / volatile PnL
0x3f9a0aadc7f04a7c9d75dc1b5a6ddd6e36486cf6,53496.247243000005,9812.51560528366,11.857142857142858,28,1.0,5774.468515461302,High size,Infrequent,0.1079415625030948,Inconsistent winner,1.6108908635224424,1,small-size / low-freq / high win-rate / steady PnL
0x420ab45e0bd8863569a5efbb9c05d91f40624641,199505.592732,8334.762260556681,19.15,20,1.0,20797.39604487325,High size,Infrequent,0.1042446768538004,Inconsistent winner,0.3638771397392087,1,small-size / low-freq / high win-rate / steady PnL
0x430f09841d65beb3f27765503d0f850b8bce7713,416541.872341,2525.945975144083,44.17857142857143,28,1.0,32725.08326015729,Low size,Infrequent,0.0785637301629235,Consistent winner,0.178125,1,small-size / low-freq / high win-rate / steady PnL
0x47add9a56df66b524d5e2c1993a43cde53b6ed85,103343.716161,516.6442989710463,59.15972222222222,144,0.8128397849603801,2484.2443189649503,Low size,Infrequent,0.0240386586746573,Consistent winner,1.8999993122299808,1,small-size / low-freq / high win-rate / steady PnL
0x4acb90e786d897ecffb614dc822eb231b4ffb9f4,677747.050643,16024.724760769132,75.10344827586206,58,0.9126012876012876,25344.268484609507,High size,Frequent,0.0373948783112587,Consistent winner,4.222475809896226,3,large-size / high-freq / lower win-rate / volatile PnL
0x4f93fead39b70a1824f981a54d4e55b278e9f760,308975.869716,16038.456425115372,23.626168224299064,321,0.9598035894545964,7430.255413150263,High size,Infrequent,0.0240480119692838,Consistent winner,2.0881133805479988,1,small-size / low-freq / high win-rate / steady PnL
0x513b8629fe877bb581bf244e326a047b249c4ff1,840422.555216,27603.84521556422,313.7435897435897,39,0.8668135348666396,42171.74469920306,High size,Frequent,0.0501792157260276,Consistent winner,1.1579705711366486,3,large-size / high-freq / lower win-rate / volatile PnL
0x6d6a4b953f202f8df5bed40692e7fd865318264a,108731.216772,867.1703611532234,20.74468085106383,47,0.9533730158730158,7470.04650016332,Low size,Infrequent,0.0687019489152537,Consistent winner,1.6100222395789223,1,small-size / low-freq / high win-rate / steady PnL
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,429355.565915,9367.295108536868,83.6842105263158,19,0.5299145299145299,80215.01097553849,High size,Frequent,0.1868265310700985,Inconsistent winner,0.6565579438642205,0,large-size / low-freq / lower win-rate / steady PnL
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,360539.510029,4688.041802175383,21.907692307692308,65,0.7883155080213904,23406.44232359817,High size,Infrequent,0.0649206027980552,Consistent winner,0.7846029215343228,0,large-size / low-freq / lower win-rate / steady PnL
0x75f7eeb85dc639d5e99c78f95393aa9a5f1170d4,379095.406711,3354.209290301069,67.76027397260275,146,0.8804709200721843,4762.374293945578,Low size,Frequent,0.012562468997616,Consistent winner,4.491463205679677,1,small-size / low-freq / high win-rate / steady PnL
0x7f4f299f74eec87806a830e3caa9afa5f2b9db8f,14900.443047,6760.1144210194525,59.96153846153846,26,0.9088894191256396,873.4108109517282,High size,Frequent,0.0586164322897484,Consistent winner,0.9449754178240575,1,small-size / low-freq / high win-rate / steady PnL
0x8170715b3b381dffb7062c0298972d4727a0a63b,-167621.124781,2782.687344213111,50.01086956521739,92,0.7719582022958876,38190.08942383133,Low size,Infrequent,0.2278357782989904,Net loser,1.626335819767057,0,large-size / low-freq / lower win-rate / steady PnL
0x8381e6d82f1affd39a336e143e081ef7620a3b7f,65513.657906,5475.174210575846,35.388888888888886,54,0.8301391760610106,5511.299034566663,High size,Infrequent,0.0841244285653284,Inconsistent winner,1.4652860279618207,1,small-size / low-freq / high win-rate / steady PnL
0x8477e447846c758f5a675856001ea72298fd9cb5,43917.008976,839.021370213006,86.19540229885058,174,0.8582936814277426,3367.9125184012946,Low size,Frequent,0.0766881123494045,Consistent winner,1.7659853972740627,1,small-size / low-freq / high win-rate / steady PnL
0x92f17e8d81a944691c10e753af1b1baae1a2cd0d,126578.942134,12481.488695021257,169.55555555555554,18,0.8688811188811189,15642.867721081608,High size,Frequent,0.1235819122624806,Inconsistent winner,7.506299782617613,3,large-size / high-freq / lower win-rate / volatile PnL
0xa0feb3725a9335f49874d7cd8eaad6be45b27416,106302.875256,1273.0527781456335,243.828125,64,0.9719059123267462,2678.372530919574,Low size,Frequent,0.0251956734422232,Consistent winner,2.4925442731829293,1,small-size / low-freq / high win-rate / steady PnL
